case,pa_x_cm,pa_y_cm,pa_z_cm,va_x_cms,va_y_cms,va_z_cms,pb_x_cm,pb_y_cm,pb_z_cm,vb_x_cms,vb_y_cms,vb_z_cms,safety_cm,horizon_ms,expected_risk,expected_tcpa_ms,expected_dcpa_cm,telemetry_a_hex,telemetry_b_hex
0,12616,-13360,8028,-26,1906,-692,-1645,17381,5714,-1233,-739,1241,785,8187,0,5625,27712,d702010005000001000000000000000000003148ffffcbd000001f5cffe60772fd4cff68,d7020100050000020000000000000000fffff993000043e500001652fb2ffd1d04d94673
1,-7715,-11836,-15159,895,-1952,1392,-2872,-13046,14524,699,21,1974,865,2185,0,,30099,d7020100050000010001000000000000ffffe1ddffffd1c4ffffc4c9037ff8600570a272,d7020100050000020001000000000000fffff4c8ffffcd0a000038bc02bb001507b61b8c
2,-523,-19391,-13809,1934,-1055,1798,-9660,-1083,14287,149,-353,-1323,578,6845,0,4361,30867,d7020100050000010002000000000000fffffdf5ffffb441ffffca0f078efbe10706ec45,d7020100050000020002000000000000ffffda44fffffbc5000037cf0095fe9ffad58fb4
3,5472,-2499,-18838,-465,1235,-1335,6038,-9942,19001,533,-1599,1098,572,5055,0,,38568,d702010005000001000300000000000000001560fffff63dffffb66afe2f04d3fac91c80,d702010005000002000300000000000000001796ffffd92a00004a390215f9c1044a5c8a
4,1894,-2169,261,1625,1741,-30,-454,13244,13814,1305,1269,-625,715,7132,0,21477,10651,d702010005000001000400000000000000000766fffff78700000105065906cdffe22184,d7020100050000020004000000000000fffffe3a000033bc000035f6051904f5fd8f165d
5,16141,-16607,18898,725,837,-231,7763,-12945,-19498,1703,-1268,-814,687,10333,0,,39469,d702010005000001000500000000000000003f0dffffbf21000049d202d50345ff1918aa,d702010005000002000500000000000000001e53ffffcd6fffffb3d606a7fb0cfcd2ce04
6,236,-16735,18184,696,1339,1577,-19888,19079,17490,-917,-441,-1183,730,3069,0,2194,40294,d7020100050000010006000000000000000000ecffffbea10000470802b8053b06296253,d7020100050000020006000000000000ffffb25000004a8700004452fc6bfe47fb6146e7
7,1548,-8143,13458,959,-1332,1250,-16327,-16254,18136,1351,1580,1633,550,11671,0,3284,17677,d70201000500000100070000000000000000060cffffe0310000349203bffacc04e234a7,d7020100050000020007000000000000ffffc039ffffc082000046d80547062c06619a76
8,-67,9603,5847,-1876,-1733,-1905,-19569,13408,-18379,911,1560,1693,392,9582,0,4087,21318,d7020100050000010008000000000000ffffffbd00002583000016d7f8acf93bf88f3d8b,d7020100050000020008000000000000ffffb38f00003460ffffb835038f0618069d09f2
9,-6734,12053,11354,169,-1561,-658,-18637,1110,-11319,1986,-115,-1526,152,8506,0,2892,26909,d7020100050000010009000000000000ffffe5b200002f1500002c5a00a9f9e7fd6e4edf,d7020100050000020009000000000000ffffb73300000456ffffd3c907c2ff8dfa0aeafa
10,-4863,-3723,-18308,-1700,-135,-1821,-8029,-19919,5119,-1337,1925,-1990,587,14935,0,8736,22024,d702010005000001000a000000000000ffffed01fffff175ffffb87cf95cff79f8e33d51,d702010005000002000a000000000000ffffe0a3ffffb231000013fffac70785f83a6262
11,1956,-15671,16954,282,1954,-155,-8411,3623,-2879,-1993,-1033,1302,820,2992,0,3880,25076,d702010005000001000b000000000000000007a4ffffc2c90000423a011a07a2ff656dcc,d702010005000002000b000000000000ffffdf2500000e27fffff4c1f837fbf705163e4a
